LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C45099,KM336M050E11RR0VH2FP0,CX(Dongguan Chengxing Elec),"Plugin,D6.3xL11mm",,"33uF 50V ±20% Plugin,D6.3xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,20,20,0.0191,0.38,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_cx-dongguan-chengxing-elec-km336m050e11rr0vh2fp0_C45099.html
C333834,MPP104J2GA3A0R0,Hongzhi Elec,"Plugin,P=10mm",,"100nF -40℃~+105℃ ±5% 400V Plugin,P=10mm Polypropylene Film Capacitors (CBB) ROHS",yes,20,20,0.0337,0.67,https://www.lcsc.com/product-detail/polypropylene-film-capacitors-cbb_hongzhi-elec-mpp104j2ga3a0r0_C333834.html
C17414,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 10kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f1002t5e_C17414.html
C5310978,HT7533S,TECH PUBLIC,SOT-23,,"SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,10,10,0.0319,0.32,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_tech-public-ht7533s_C5310978.html
C2987730,LNK3206D-TL,POWER INTEGRATIONS,SO-7,,360mA 725V 66kHz SO-7 AC-DC Controllers and Regulators ROHS,yes,1,1,0.6646,0.66,https://www.lcsc.com/product-detail/ac-dc-controllers-and-regulators_power-integrations-lnk3206d-tl_C2987730.html
C168103,FNR6045S152MT,cjiang (Changjiang Microelectronics Tech),"SMD,6x6mm",,"240mA 1.5mH ±20% 270mA SMD,6x6mm Power Inductors ROHS",yes,5,5,0.1526,0.76,https://www.lcsc.com/product-detail/power-inductors_cjiang-changjiang-microelectronics-tech-fnr6045s152mt_C168103.html
C17616,0805W8F3003T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 300kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f3003t5e_C17616.html
C394206,LYT0006D-TL,POWER INTEGRATIONS,SOIC-7,,SOIC-7 LED Drivers ROHS,yes,1,1,0.4795,0.48,https://www.lcsc.com/product-detail/led-drivers_power-integrations-lyt0006d-tl_C394206.html
C2845051,SSP7785-3.3V,Shanghai Siproin Microelectronics,ESOP-8,,"10mA 70dB 3.3V Positive electrode ESOP-8 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,5,5,0.1643,0.82,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_shanghai-siproin-microelectronics-ssp7785-3-3v_C2845051.html
C304616,RC-02W4701FT,FH (Guangdong Fenghua Advanced Tech),0402,,62.5mW Thick Film Resistors 50V ±1% ±200ppm/℃ 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,50,50,0.0005,0.03,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_fh-guangdong-fenghua-advanced-tech-rc-02w4701ft_C304616.html
C497813,YNR4030-471M,YJYCOIN,"SMD,4x4x3mm",,"200mA 470uH ±20% SMD,4x4x3mm Power Inductors ROHS",yes,10,10,0.0513,0.51,https://www.lcsc.com/product-detail/power-inductors_yjycoin-ynr4030-471m_C497813.html
C25092,0402WGF220JTCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±1% ±100ppm/℃ 22Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf220jtce_C25092.html
C383211,LESD5D5.0CT1G,LRC,SOD-523,,9.4A 18.6V 5.6V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS,yes,100,50,0.0184,1.84,https://www.lcsc.com/product-detail/esd-and-surge-protection-tvs-esd_lrc-lesd5d5-0ct1g_C383211.html
C125626,GL5516,Senba Sensing Tech,"Plugin,P=3mm",,"5kΩ~10kΩ 540nm 500kΩ Plugin,P=3mm Photoresistors ROHS",yes,10,10,0.0450,0.45,https://www.lcsc.com/product-detail/photoresistors_senba-sensing-tech-gl5516_C125626.html
C3345109,HU2G2R2M0610,ROQANG,"SMD,D6.3xL10mm",,"2.2uF 400V 28mA@120Hz ±20% SMD,D6.3xL10mm Aluminum Electrolytic Capacitors - SMD ROHS",yes,10,10,0.0644,0.64,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-smd_roqang-hu2g2r2m0610_C3345109.html
C17673,0805W8F4701T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 4.7kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f4701t5e_C17673.html
C390142,KP334J2G1002,KYET,"Plugin,P=10mm",,"330nF -40℃~+100℃ ±5% 400V Plugin,P=10mm Polypropylene Film Capacitors (CBB) ROHS",yes,10,10,0.0637,0.64,https://www.lcsc.com/product-detail/polypropylene-film-capacitors-cbb_kyet-kp334j2g1002_C390142.html
C477717,RC0402FR-073ML,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 3MΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-073ml_C477717.html
C353570,1SMAF4759A,Shandong Jingdao Microelectronics,SMAF,,Independent Type 58.9V~65.6V 1W 62V SMAF Zener Diodes ROHS,yes,20,20,0.0332,0.66,https://www.lcsc.com/product-detail/zener-diodes_shandong-jingdao-microelectronics-1smaf4759a_C353570.html
C16257,0805W8F330KT5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 3.3Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0023,0.23,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f330kt5e_C16257.html
C17506,0805W8F1802T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 18kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f1802t5e_C17506.html
C17480,0805W8F150JT5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 15Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f150jt5e_C17480.html
C100040,CC0603KRX7R9BB102,YAGEO,0603,,50V 1nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0603krx7r9bb102_C100040.html
C5346628,EG4005C,EG Micro,SOP-8,,SOP-8 Human Body Sensing Sensor ROHS,yes,5,5,0.0832,0.42,https://www.lcsc.com/product-detail/human-body-sensing-sensor_eg-micro-eg4005c_C5346628.html
C49693,"PBSS4350Z,135",Nexperia,SOT-223-3,,"50V 2W 100@2A,2V 3A NPN SOT-223-3 Bipolar (BJT) ROHS",yes,5,5,0.0808,0.40,https://www.lcsc.com/product-detail/bipolar-bjt_nexperia-pbss4350z-135_C49693.html
C6081342,XYC-PIR203Z-S0,NEWOPTO,TO-5,,TO-5 Human Body Sensing Sensor ROHS,yes,2,1,0.4621,0.92,https://www.lcsc.com/product-detail/human-body-sensing-sensor_newopto-xyc-pir203z-s0_C6081342.html
C13879,MF52A103F3950 (A1),Nanjing Shiheng Elec,"Plugin,P=1.7mm",,"10kΩ 50mW ±1% 3950K ±1% Plugin,P=1.7mm NTC Thermistors ROHS",yes,10,10,0.0353,0.35,https://www.lcsc.com/product-detail/ntc-thermistors_nanjing-shiheng-elec-mf52a103f3950-a1_C13879.html
C16378,MURS160T3G,onsemi,SMB,,1.25V@1A 75ns 2A 600V SMB Fast Recovery / High Efficiency Diodes ROHS,yes,5,5,0.1510,0.76,https://www.lcsc.com/product-detail/fast-recovery-high-efficiency-diodes_onsemi-murs160t3g_C16378.html
C91672,TLV70450DBVR,Texas Instruments,SOT-23-5,,"60dB@(100kHz) 150mA Fixed 5V Positive electrode 24V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,5,5,0.0772,0.39,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_texas-instruments-tlv70450dbvr_C91672.html
C21189,0603WAF0000T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±1% 0Ω 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603waf0000t5e_C21189.html
C100042,CC0603KRX7R9BB103,YAGEO,0603,,50V 10nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0603krx7r9bb103_C100042.html
C93943,RC0402FR-0747KL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 47kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-0747kl_C93943.html
C17544,0805W8F200JT5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 20Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f200jt5e_C17544.html
C32856,KS106M050C07RR0VH2FP0,CX(Dongguan Chengxing Elec),"Plugin,D4xL7mm",,"10uF 50V ±20% Plugin,D4xL7mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,50,50,0.0117,0.59,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_cx-dongguan-chengxing-elec-ks106m050c07rr0vh2fp0_C32856.html
C17513,0805W8F1001T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f1001t5e_C17513.html
C6341414,YDPK0810-472K,YJYCOIN,"Plugin,D10xL13mm",,"4.7mH ±10% 210mA Plugin,D10xL13mm Power Inductors ROHS",yes,5,5,0.2093,1.05,https://www.lcsc.com/product-detail/power-inductors_yjycoin-ydpk0810-472k_C6341414.html
C60490,RC0402FR-0710KL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-0710kl_C60490.html
C17931,1206W4F3603T5E,UNI-ROYAL(Uniroyal Elec),1206,,250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 360kΩ 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-1206w4f3603t5e_C17931.html
C17168,0402WGF0000TCE,UNI-ROYAL(Uniroyal Elec),0402,,62.5mW Thick Film Resistors 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0402wgf0000tce_C17168.html
C17408,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 100Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f1000t5e_C17408.html
C138011,RC0402FR-07300KL,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 300kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-07300kl_C138011.html
C104087,RTT05203JTP,RALEC,0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 20kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0041,0.41,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_ralec-rtt05203jtp_C104087.html
C173429,BZT52C12,MDD(Microdiode Semiconductor),SOD-123,,Independent Type 11.4V~12.7V 500mW 12V SOD-123 Zener Diodes ROHS,yes,50,50,0.0106,0.53,https://www.lcsc.com/product-detail/zener-diodes_mdd-microdiode-semiconductor-bzt52c12_C173429.html
C78180,RH6015C,RONGHE Microelectronics,SOT-23-6,,Capacitive touch No 1 SOT-23-6 Touch Sensors ROHS,yes,5,5,0.0838,0.42,https://www.lcsc.com/product-detail/touch-sensors_ronghe-microelectronics-rh6015c_C78180.html
C128367,NSI45020AT1G,onsemi,SOD-123,,20mA 45V SOD-123 LED Drivers ROHS,yes,5,5,0.1446,0.72,https://www.lcsc.com/product-detail/led-drivers_onsemi-nsi45020at1g_C128367.html
C142526,VCNL4040M3OE,Vishay Intertech,SMD-8P,,SMD-8P Ambient Light Sensors ROHS,yes,2,1,1.1360,2.27,https://www.lcsc.com/product-detail/ambient-light-sensors_vishay-intertech-vcnl4040m3oe_C142526.html
C3343,RVT1E100M0405,Honor Elec,"SMD,D4xL5.4mm",,"10uF 25V ±20% SMD,D4xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",yes,20,20,0.0206,0.41,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-smd_honor-elec-rvt1e100m0405_C3343.html
C128551,VG039NCHXTB204,HDK(Hokuriku Elec Industry),SMD,,"±25% 200kΩ SMD Potentiometers, Variable Resistors ROHS",yes,10,10,0.0627,0.63,https://www.lcsc.com/product-detail/potentiometers-variable-resistors_hdk-hokuriku-elec-industry-vg039nchxtb204_C128551.html
C908652,ES2JF,GOODWORK,SMAF,,1.7V@2A 35ns Independent Type 2A 600V SMAF Fast Recovery / High Efficiency Diodes ROHS,yes,20,20,0.0074,0.15,https://www.lcsc.com/product-detail/fast-recovery-high-efficiency-diodes_goodwork-es2jf_C908652.html
C2914012,SW-18015PZR-10G12B3,XKB Connection,Plugin,,Plugin Vibration Sensors ROHS,yes,10,10,0.0487,0.49,https://www.lcsc.com/product-detail/vibration-sensors_xkb-connection-sw-18015pzr-10g12b3_C2914012.html
C15849,CL10A105KB8NNNC,Samsung Electro-Mechanics,0603,,50V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,50,0.0037,0.37,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl10a105kb8nnnc_C15849.html
C96973,SWPA8040S681MT,Sunlord,"SMD,8x8mm",,"450mA 680uH ±20% SMD,8x8mm Power Inductors ROHS",yes,5,5,0.1040,0.52,https://www.lcsc.com/product-detail/power-inductors_sunlord-swpa8040s681mt_C96973.html
C437593,1N4005W,Shandong Jingdao Microelectronics,SOD-123FL,,1A Independent Type 600V 1.1V@1A SOD-123FL Diodes - General Purpose ROHS,yes,100,100,0.0064,0.64,https://www.lcsc.com/product-detail/diodes-general-purpose_shandong-jingdao-microelectronics-1n4005w_C437593.html
C423084,0603WAD1212T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±0.5% 12.1kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0038,0.38,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603wad1212t5e_C423084.html
C130723,NCD0402G1,Foshan NationStar Optoelectronics,0402,,20mA Colorless Transparent Lens 100mcd~270mcd 515nm~530nm -30℃~+85℃ Emerald 130° 72mW 2.6V~3.6V 0402 LED Indication - Discrete ROHS,yes,60,20,0.0360,2.16,https://www.lcsc.com/product-detail/led-indication-discrete_foshan-nationstar-optoelectronics-ncd0402g1_C130723.html
C908655,ES1J,GOODWORK,SMA(DO-214AC),,1.7V@1A 35ns Independent Type 1A 600V SMA(DO-214AC) Fast Recovery / High Efficiency Diodes ROHS,yes,50,50,0.0089,0.45,https://www.lcsc.com/product-detail/fast-recovery-high-efficiency-diodes_goodwork-es1j_C908655.html
C138033,RC0402FR-071ML,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-071ml_C138033.html
C724292,YNR5040-471M,YJYCOIN,"SMD,5x5mm",,"470uH ±20% SMD,5x5mm Power Inductors ROHS",yes,5,5,0.0566,0.28,https://www.lcsc.com/product-detail/power-inductors_yjycoin-ynr5040-471m_C724292.html
C2063,KM227M035F12RR0VH2FP0,CX(Dongguan Chengxing Elec),"Plugin,D8xL12mm",,"220uF 35V ±20% Plugin,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,0.0334,0.33,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_cx-dongguan-chengxing-elec-km227m035f12rr0vh2fp0_C2063.html
C403100,ERJ3EKF2491V,PANASONIC,0603,,100mW Thick Film Resistors ±100ppm/℃ ±1% 2.49kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0049,0.49,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_panasonic-erj3ekf2491v_C403100.html
C400682,ERJ3GEYJ273V,PANASONIC,0603,,100mW Thick Film Resistors ±5% ±200ppm/℃ 27kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0050,0.50,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_panasonic-erj3geyj273v_C400682.html
C96113,PDS760-13,Diodes Incorporated,Power-DI-5,,60V 620mV@7A 7A Power-DI-5 Schottky Diodes ROHS,yes,15,5,0.3345,5.02,https://www.lcsc.com/product-detail/schottky-diodes_diodes-incorporated-pds760-13_C96113.html
C2897366,PM254-1-03-Z-8.5,HCTL,"Plugin,P=2.54mm",,"2.54mm Single Row 3A Copper alloy 3P -40℃~+105℃ Direct Insert 1x3P 8.5mm Top Square Hole Plugin,P=2.54mm Female Headers ROHS",yes,5,5,0.0877,0.44,https://www.lcsc.com/product-detail/female-headers_hctl-pm254-1-03-z-8-5_C2897366.html
C7423107,SK6812MINIRGBW-NW-P6,OPSCO Optoelectronics,"SMD,3.5x3.7mm",,"SMD,3.5x3.7mm RGB LEDs(Built-in IC) ROHS",yes,20,5,0.1164,2.33,https://www.lcsc.com/product-detail/rgb-leds-built-in-ic_opsco-optoelectronics-sk6812minirgbw-nw-p6_C7423107.html
C130719,NCD0402R1,Foshan NationStar Optoelectronics,0402,,25mA Colorless Transparent Lens 13mcd~30mcd 615nm~635nm -30℃~+85℃ Red 130° 65mW 1.6V~2.6V 0402 LED Indication - Discrete ROHS,yes,40,20,0.0316,1.26,https://www.lcsc.com/product-detail/led-indication-discrete_foshan-nationstar-optoelectronics-ncd0402r1_C130719.html
C5365642,A2541HWR-3P,CJT(Changjiang Connectors),"Push-Pull,P=2.54mm",,"2.54mm 3A Single Row Gold 3P -40℃~+105℃ Brass 250V Bend-in 1x3P Side 2.5mm Square Hole Push-Pull,P=2.54mm Female Headers ROHS",yes,37,37,0.0621,2.30,https://www.lcsc.com/product-detail/female-headers_cjt-changjiang-connectors-a2541hwr-3p_C5365642.html
C2906054,PM200-1-05-W-4.3,HCTL,"Push-Pull,P=2mm",,"2mm Single Row 1.5A Brass 5P -40℃~+105℃ Bend-in 1x5P Side 4.3mm Square Hole Push-Pull,P=2mm Female Headers ROHS",yes,29,29,0.1258,3.65,https://www.lcsc.com/product-detail/female-headers_hctl-pm200-1-05-w-4-3_C2906054.html
C5174608,TM1812B,TM(Shenzhen Titan Micro Elec),SOP-16,,SOP-16 LED Drivers ROHS,yes,5,5,0.1250,0.63,https://www.lcsc.com/product-detail/led-drivers_tm-shenzhen-titan-micro-elec-tm1812b_C5174608.html
C27899,SN65HVD485EDR,Texas Instruments,SOIC-8,,Transceiver 10Mbps SOIC-8 RS-485 / RS-422 ICs ROHS,yes,2,1,0.3998,0.80,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_texas-instruments-sn65hvd485edr_C27899.html
C84051,TC4056A,Shenzhen Fuman Elec,SOP-8-EP,,SOP-8-EP Battery Management ROHS,yes,20,10,0.0412,0.82,https://www.lcsc.com/product-detail/battery-management_shenzhen-fuman-elec-tc4056a_C84051.html
C182078,LMR14030SDDAR,Texas Instruments,SO-8-EP,,Step-down type Adjustable 800mV~28V 3.5A 4V~40V SO-8-EP DC-DC Converters ROHS,yes,5,1,0.3846,1.92,https://www.lcsc.com/product-detail/dc-dc-converters_texas-instruments-lmr14030sddar_C182078.html
